 sex row_number liters_drunk age drink check_number label
0 Ж  -2 77 Bugbeer 9774 1
391 "Не указан" 100.0 36654403 54 "Strong beer" 1563 0
392 ж  1 45 Cola 9131 0
393 ж 74.0 4 24 Water 6463 0
394 Ж 27.0 1 52 Cola 9031 0
395 - 27.0 5 34 Water 5520 1
396 ж 92.0 2 14 Fanta 8691 1
397 м 25.0 1 80 Cola 3498 0
398 "Не указан" 23.0 4 19 Cola 3170 1
399 M 72.0 4 22 Bugbeer 3287 1
400 Ж 27.0 4 74 Cola 9970 1
401 M 70.0 4 34 Water 9162 1
402 "Не указан" 54.0 1 55 Water 4285 0
403 м 17.0 4 62 Beerbeer 9514 0
404 - 39.0 3 24 Fanta 5311 0
405 M 44.0 4 31 Cola 9266 0
406 м  2 28 Beerbeer 4457 0
407 ж 32.0 1 35 Beerbeer 7269 0
408 M 49.0 3 70 Fanta 2105 0
409 - 13.0 5 70 Cola 2703 1
410 - 43.0 4 17 Cola 1521 0
411 "Не указан" 7.0 2 69 Bugbeer 5145 1
412 "Не указан" 43.0 0 73 Beerbeer 9382 0
413 Ж 1.0 0 25 Cola 5555 1
414 Ж 7.0 1 39 Bugbeer 9181 1
415 - 96.0 -6 54 Water 8822 0
416 ж 65.0 2 29 "Strong beer" 8250 1
417 ж 68.0 5 22 Bugbeer 6347 1
418 M 44.0 5 79 Bugbeer 5653 1
419 "Не указан" 57.0 1 21 Beerbeer 9847 1
420 "Не указан" 16.0 0 35 Bugbeer 4 1
421 M 46.0 4 40 Water 6188 1
422 ж 45.0 4 63 Water 4057 1
423 ж 88.0 5 13 Fanta 9390 1
424 - 95.0 3 35 Water 5967 1
425 ж 65.0 2 14 Water 7925 1
426 M 24.0 4 65 Fanta 9661 1
427 M 4.0 1 65 Bugbeer 2866 1
428 "Не указан" 5.0 0 45 Bugbeer 3945 1
429 Ж 36.0 1 20 Cola 2748 0
430 м 99.0 1 13 Water 8055 0
431 м 66.0 0 12 Cola 1515 0
432 M  1 23 Water 2134 1
433 - 79.0 4 42 Bugbeer 406 1
434 Ж 90.0 3 43 Cola 3264 0
435 Ж 10.0 3 31 Fanta 4735 0
436 ж 84.0 2 15 Water 2882 1
437 м 49.0 1 51 Bugbeer 2335 1
438 M 96.0 5 44 Fanta 179 1
439 м 87.0 0 55 Water 6436 1
440 M 56.0 1 20 Fanta 8960 1
441 M 0.0 0 72 Cola 5282 1
442 "Не указан" 51.0 -2 66 Cola 4797 1
443 м 92.0 2 36 Fanta 9982 0
444 M 71.0 -4 75 Water 8838 1
445 Ж 88.0 2 22 Beerbeer 2346 1
446 ж 31.0 0 20 Cola 9906 1
447 - 37.0 5 74 Cola 6004 0
448 - 5.0 2 36 Fanta 9407 0
449 м 17.0 5 32 Water 2533 0
450 Ж 80.0 1 63 Fanta 9766 0
451 м 75.0 3 34 Water 9648 1
452 - 7.0 2 13 Water 6036 0
453 - 57.0 3 60 Cola 9726 0
454 Ж 97.0 1 21 Cola 51 1
455 м 61.0 3 78 Water 2184 0
456 M 55.0 0 10 Water 8124 0
457 ж 65.0 0 67 Cola 4247 1
458 "Не указан" 3.0 1 66 Water 6826 1
459 "Не указан" 66.0 91666042 29 Cola 2934 0
460 M 52.0 0 60 Fanta 3926 0
461 - 70.0 0 17 Cola 1560 0
462 м 81.0 0 53 Fanta 5032 0
463 - 35.0 1 47 Cola 8407 1
464 - 55.0 4 40 Beerbeer 5431 1
465 м 70.0 1 60 "Strong beer" 7369 1
466 м 0.0 2 74 Cola 867 0
467 Ж 50.0 54496538 71 Bugbeer 1964 1
468 M 62.0 8442643 67 Fanta 2191 1
469 ж 86.0 3 58 Bugbeer 8347 1
470 "Не указан" 98.0 4 78 Cola 2383 1
471 Ж 80.0 3 57 Beerbeer 7294 1
472 M 92.0 4 24 Water 4589 1
473 "Не указан" 85.0 96036745 59 Beerbeer 6986 1
474 Ж 63.0 3 28 Cola 7944 1
475 м 94.0 5 38 Bugbeer 7398 1
476 ж 54.0 2 56 Fanta 98 1
477 м  1 18 Fanta 2510 0
478 Ж 89.0 4 42 Beerbeer 4307 1
479 M 99.0 3 74 Cola 2474 0
480 Ж 47.0 1 31 Cola 7167 1
481 м 43.0 3 70 Fanta 4005 0
482 м 72.0 -2 33 Fanta 2808 0
483 ж 51.0 1 45 Water 7638 1
484 м 26.0 4 70 Cola 8596 1
485 м  4 42 Beerbeer 4908 1
486 м 47.0 4 32 Water 9313 1
487 M 35.0 5 38 Water 5994 1
488 ж 11.0 5 37 Water 3950 1
489 M 89.0 87724267 35 Beerbeer 3219 1
490 M 22.0 2 37 Bugbeer 9145 1
491 M 34.0 4 80 Fanta 3515 0
492 - 11.0 1 42 Bugbeer 617 1
493 "Не указан" 39.0 1 79 "Strong beer" 6085 0
494 м 34.0 0 52 Fanta 7302 0
495 "Не указан" 16.0 3 33 "Strong beer" 672 1
496 - 6.0 1 63 Fanta 6481 1
497 "Не указан" 83.0 4 72 Bugbeer 2563 0
498 ж 63.0 4 42 Beerbeer 5775 1
499 "Не указан" 23.0 0 59 "Strong beer" 9522 0
500 Ж 24.0 0 18 Fanta 5977 0
501 "Не указан" 70.0 0 64 Cola 866 0
502 м 66.0 2 76 "Strong beer" 3214 1
503 "Не указан" 63.0 3 24 Beerbeer 5295 0
504 м 74.0 0 44 Water 7278 0
505 Ж 74.0 0 33 Fanta 7739 1
506 "Не указан" 5.0 3 18 Fanta 6685 0
507 - 26.0 5 65 Bugbeer 8615 1
508 M 87.0 4 56 Water 9359 0
509 - 84.0 4 69 Fanta 5182 0
510 Ж 3.0 0 54 Water 5532 1
511 - 3.0 2 44 "Strong beer" 3693 1
512 M 83.0 5 25 Fanta 5749 1
513 M 92.0 1 16 Water 6404 0
514 - 18.0 2 17 Cola 6521 0
515 - 70.0 0 75 Fanta 9079 1
516 M 90.0 5 78 Fanta 6973 0
517 "Не указан" 51.0 1 53 Beerbeer 6931 0
518 Ж 29.0 2 69 Beerbeer 2511 0
519 - 54.0 0 27 Fanta 774 1
520 Ж 57.0 1 62 Water 2456 0
521 "Не указан" 3.0 5 64 Fanta 4002 0
522 - 36.0 4 28 Fanta 3276 0
523 "Не указан" 6.0 1 63 Beerbeer 2182 0
524 Ж 72.0 3 20 Cola 2251 1
525 "Не указан" 1.0 1 47 Water 3361 1
526 - 49.0 1 58 Water 9160 1
527 "Не указан" 41.0 5 22 Beerbeer 7931 1
528 м 9.0 3 24 Water 5073 0
529 м 86.0 2 33 Fanta 7821 1
530 - 56.0 2 10 Water 1737 1
531 ж 13.0 4 45 Cola 2814 1
532 - 94.0 4 80 Cola 3245 1
533 ж 95.0 0 47 Fanta 1396 1
534 ж 54.0 1 32 Water 6211 0
535 M 16.0 1 67 Fanta 6480 0
536 м 40.0 2 21 "Strong beer" 4390 0
537 м 70.0 3 46 Water 314 1
538 Ж 38.0 2 79 "Strong beer" 7405 0
539 ж 5.0 4 46 Water 4862 1
540 "Не указан" 96.0 0 22 Beerbeer 340 1
541 "Не указан" 4.0 0 36 Fanta 8091 1
542 м 5.0 5 28 Bugbeer 7142 1
543 м 63.0 2 45 "Strong beer" 9095 0
544 - 68.0 0 45 "Strong beer" 7854 1
545 - 90.0 4 41 Beerbeer 1469 1
546 ж 75.0 2 20 Water 3459 0
547 - 60.0 5 48 Water 2780 1
548 Ж 13.0 5 37 Bugbeer 4980 1
549 м 73.0 5 77 Fanta 3649 0
550 м 10.0 1 10 Water 95 0
551 ж 72.0 4 38 Fanta 6928 1
552 M 87.0 0 80 "Strong beer" 960 0
553 - 28.0 1 69 Beerbeer 9923 0
554 ж 38.0 4 61 Beerbeer 1394 0
555 M 16.0 1 78 Beerbeer 8039 1
556 м 10.0 1 53 Water 7847 0
557 M 52.0 4 44 Beerbeer 7318 1
558 ж  2 25 Bugbeer 7226 0
559 м 4.0 2 43 Cola 5350 1
560 - 88.0 1 25 Cola 9705 1
561 ж 41.0 2 23 Water 7379 0
562 Ж 27.0 5 71 Bugbeer 2740 0
563 M 84.0 4 51 Cola 5759 0
564 ж 49.0 4 36 Cola 1408 0
565 - 38.0 1 34 Beerbeer 413 0
566 - 27.0 4 27 Beerbeer 7408 1
567 Ж 25.0 1 11 Fanta 1962 0
568 "Не указан" 16.0 1 53 Bugbeer 220 1
569 - 38.0 2 39 Fanta 6714 0
570 ж 71.0 5 77 Bugbeer 7230 1
571 "Не указан" 76.0 42981186 70 "Strong beer" 8521 0
572 - 82.0 3 22 Water 4752 0
573 м 75.0 0 54 Bugbeer 5534 0
574 м 64.0 0 15 Fanta 6747 1
575 Ж 66.0 0 19 Water 3279 1
576 - 49.0 5 57 Water 4071 0
577 "Не указан" 5.0 -4 57 Cola 6527 1
578 M 93.0 1 36 Beerbeer 6758 1
579 - 3.0 1 30 Water 2798 1
580 "Не указан" 61.0 4 24 Fanta 3870 1
581 Ж 35.0 52669590 20 Cola 7796 1
582 Ж 71.0 1 37 Beerbeer 879 0
583 Ж 93.0 3 79 Cola 2503 1
584 м 50.0 5 65 "Strong beer" 3111 0
585 Ж 5.0 2 29 Fanta 4286 1
586 ж 42.0 3 56 Beerbeer 5872 1
587 ж 68.0 0 37 Bugbeer 779 1
588 ж  3 36 Beerbeer 3161 1
589 ж 4.0 1 55 "Strong beer" 3339 0
590 M 99.0 4 78 Beerbeer 3024 0
591 M 96.0 5 36 "Strong beer" 1358 1
