,check_number,session_start,sex,row_number,liters_drunk,drink,label,age_0,age_18,age_50,morning,day,evening
44,2685,2021-10-20 15:30:00,M,97.0,0,1,1,0,0,1,0,1,0
45,9902,2021-10-20 15:30:00,Ж,4.0,4,0,1,0,0,1,0,1,0
46,5694,2021-10-20 15:34:00,ж,78.0,3,0,1,0,1,0,0,1,0
47,2936,2021-10-20 14:15:00,M,80.0,2,0,0,0,0,1,0,1,0
48,1404,2021-10-20 14:15:00,-,90.0,3,1,1,0,1,0,0,1,0
49,7165,2021-10-20 06:00:00,Не указан,29.0,2,1,0,0,1,0,1,0,0
50,9214,2021-10-20 22:30:00,M,21.0,2,1,1,0,0,1,0,0,1
51,9470,2021-10-20 21:00:00,M,,0,0,1,0,0,1,0,0,1
52,7638,2021-10-20 22:30:00,ж,51.0,1,0,1,0,1,0,0,0,1
53,6368,2021-10-20 06:00:00,Не указан,61.0,4,1,0,0,0,1,1,0,0
54,9419,2021-10-20 15:30:00,Ж,,2,1,1,0,1,0,0,1,0
55,3275,2021-10-20 08:42:00,м,67.0,-5,0,0,0,0,1,1,0,0
56,4584,2021-10-20 22:30:00,M,66.0,1,0,1,1,0,0,0,0,1
57,331,2021-10-20 22:30:00,м,22.0,26690544,1,1,0,0,1,0,0,1
58,421,2021-10-20 15:00:00,ж,17.0,4,1,0,0,0,1,0,1,0
59,5873,2021-10-20 15:34:00,Ж,23.0,5,0,1,0,1,0,0,1,0
60,9984,2021-10-20 06:00:00,-,41.0,1,1,0,0,1,0,1,0,0
61,3230,2021-10-20 08:42:00,-,58.0,3,0,0,0,1,0,1,0,0
62,3301,2021-10-20 21:00:00,Ж,71.0,97605021,1,1,0,1,0,0,0,1
63,5618,2021-10-20 21:00:00,Ж,61.0,1,0,1,0,1,0,0,0,1
64,2857,2021-10-20 15:34:00,Ж,99.0,1,1,1,0,1,0,0,1,0
65,5669,2021-10-20 15:34:00,Не указан,99.0,4,0,1,0,0,1,0,1,0
66,4194,2021-10-20 14:00:00,м,11.0,5,1,0,0,0,1,0,1,0
67,8749,2021-10-20 06:00:00,ж,,2,1,0,0,0,1,1,0,0
68,4535,2021-10-20 22:30:00,Ж,15.0,1,0,1,0,0,1,0,0,1
69,9992,2021-10-20 14:00:00,Ж,56.0,2,0,0,1,0,0,0,1,0
70,1256,2021-10-20 15:30:00,-,86.0,1,1,1,0,1,0,0,1,0
71,6946,2021-10-20 22:30:00,м,21.0,4,0,1,1,0,0,0,0,1
72,8511,2021-10-20 06:00:00,Не указан,61.0,2,1,0,0,0,1,1,0,0
73,760,2021-10-20 06:15:00,м,6.0,5,0,0,0,1,0,1,0,0
74,3064,2021-10-20 22:30:00,-,92.0,5,1,1,0,1,0,0,0,1
75,9565,2021-10-20 06:15:00,Ж,9.0,5,0,1,1,0,0,1,0,0
76,769,2021-10-20 07:30:00,Ж,32.0,3,1,0,0,1,0,1,0,0
77,800,2021-10-20 06:15:00,м,17.0,4,1,1,0,1,0,1,0,0
78,4646,2021-10-20 08:42:00,ж,99.0,4,0,0,0,0,1,1,0,0
79,1954,2021-10-20 06:00:00,ж,60.0,3,1,0,0,1,0,1,0,0
80,1402,2021-10-20 23:42:00,Не указан,10.0,1,1,1,0,1,0,0,0,1
81,9293,2021-10-20 15:30:00,M,44.0,3,1,1,0,0,1,0,1,0
82,9881,2021-10-20 15:00:00,M,13.0,5,0,1,0,1,0,0,1,0
83,8716,2021-10-20 08:42:00,Ж,51.0,2,1,0,0,0,1,1,0,0
84,6573,2021-10-20 21:00:00,ж,90.0,5,1,1,0,1,0,0,0,1
85,226,2021-10-20 07:00:00,M,80.0,1,0,0,0,0,1,1,0,0
86,7256,2021-10-20 21:00:00,M,,0,0,1,0,1,0,0,0,1
87,7507,2021-10-20 22:15:00,м,25.0,4,0,1,0,0,1,0,0,1
88,8251,2021-10-20 14:15:00,Не указан,94.0,3,0,0,0,1,0,0,1,0
89,8662,2021-10-20 22:15:00,м,0.0,-4,1,1,0,0,1,0,0,1
90,2476,2021-10-20 15:34:00,Не указан,88.0,2,0,1,0,1,0,0,1,0
91,193,2021-10-20 07:30:00,ж,99.0,3,0,0,0,0,1,1,0,0
92,1810,2021-10-20 06:00:00,M,34.0,5,1,1,0,1,0,1,0,0
93,7827,2021-10-20 21:00:00,ж,27.0,3,0,1,0,1,0,0,0,1
94,8614,2021-10-20 14:15:00,Ж,92.0,3,1,1,0,1,0,0,1,0
95,445,2021-10-20 21:00:00,Ж,,2,1,1,0,0,1,0,0,1
96,1057,2021-10-20 22:30:00,м,29.0,2,0,1,0,0,1,0,0,1
97,6743,2021-10-20 08:42:00,ж,93.0,3,0,0,1,0,0,1,0,0
98,1219,2021-10-20 06:00:00,м,41.0,2,1,0,0,1,0,1,0,0
99,44,2021-10-20 22:15:00,м,87.0,1,0,1,0,1,0,0,0,1
100,9858,2021-10-20 14:00:00,Не указан,81.0,5,0,1,0,1,0,0,1,0
101,4109,2021-10-20 06:00:00,ж,49.0,0,0,0,0,0,1,1,0,0
102,4933,2021-10-20 14:15:00,м,30.0,3,1,0,0,0,1,0,1,0
103,2799,2021-10-20 06:15:00,м,2.0,0,1,0,0,1,0,1,0,0
104,2912,2021-10-20 14:00:00,Не указан,51.0,1,1,0,0,1,0,0,1,0
105,8746,2021-10-20 07:00:00,M,62.0,5,1,0,0,0,1,1,0,0
106,7174,2021-10-20 15:00:00,M,72.0,5,1,1,0,1,0,0,1,0
107,4764,2021-10-20 15:34:00,-,55.0,1,0,1,0,0,1,0,1,0
108,7739,2021-10-20 15:00:00,Ж,74.0,0,0,1,0,1,0,0,1,0
109,4414,2021-10-20 21:00:00,Ж,55.0,0,0,1,1,0,0,0,0,1
110,7247,2021-10-20 15:30:00,м,83.0,0,1,1,0,1,0,0,1,0
111,9502,2021-10-20 15:00:00,ж,,2,0,0,0,0,1,0,1,0
112,6409,2021-10-20 21:00:00,ж,41.0,4,0,1,0,1,0,0,0,1
113,8858,2021-10-20 23:42:00,Не указан,80.0,0,1,1,0,1,0,0,0,1
114,4257,2021-10-20 14:15:00,Не указан,10.0,1,1,0,0,0,1,0,1,0
115,5544,2021-10-20 08:42:00,м,90.0,3,0,0,0,0,1,1,0,0
116,5644,2021-10-20 15:00:00,-,96.0,4,1,1,0,1,0,0,1,0
117,4941,2021-10-20 14:00:00,Ж,39.0,1,1,0,0,1,0,0,1,0
118,5317,2021-10-20 06:00:00,-,8.0,3,1,0,0,1,0,1,0,0
119,7399,2021-10-20 07:30:00,Ж,29.0,5,0,0,0,1,0,1,0,0
120,2724,2021-10-20 06:15:00,-,97.0,1,0,0,0,1,0,1,0,0
121,2126,2021-10-20 07:30:00,M,44.0,3,0,0,0,0,1,1,0,0
122,3677,2021-10-20 07:30:00,ж,7.0,2,1,0,0,1,0,1,0,0
123,5790,2021-10-20 21:00:00,м,28.0,3,1,1,0,0,1,0,0,1
124,5824,2021-10-20 15:00:00,Не указан,25.0,5,0,1,0,0,1,0,1,0
125,7482,2021-10-20 22:15:00,Ж,42.0,1,0,1,0,1,0,0,0,1
126,1998,2021-10-20 23:42:00,Не указан,,2,0,1,0,1,0,0,0,1
127,9601,2021-10-20 06:15:00,M,20.0,3,0,0,0,1,0,1,0,0
128,5452,2021-10-20 22:15:00,Не указан,51.0,5,1,1,0,1,0,0,0,1
129,9147,2021-10-20 21:00:00,M,9.0,0,1,1,0,1,0,0,0,1
130,1176,2021-10-20 08:42:00,Не указан,25.0,0,0,0,1,0,0,1,0,0
131,7401,2021-10-20 15:34:00,-,23.0,3,1,1,0,1,0,0,1,0
132,7007,2021-10-20 07:30:00,ж,97.0,4,0,0,0,0,1,1,0,0
133,1474,2021-10-20 23:42:00,-,,0,0,1,1,0,0,0,0,1
134,1066,2021-10-20 22:15:00,Ж,40.0,3,0,1,0,1,0,0,0,1
135,8241,2021-10-20 22:30:00,-,31.0,2,1,1,0,0,1,0,0,1
136,5912,2021-10-20 15:34:00,-,79.0,4,0,1,0,0,1,0,1,0
137,816,2021-10-20 06:15:00,м,33.0,0,1,0,0,1,0,1,0,0
138,5936,2021-10-20 07:00:00,Ж,26.0,2,1,0,0,1,0,1,0,0
139,5886,2021-10-20 14:00:00,Ж,14.0,2,0,0,0,0,1,0,1,0
140,1229,2021-10-20 14:00:00,Ж,57.0,4,0,0,0,0,1,0,1,0
141,8912,2021-10-20 22:15:00,-,54.0,4,1,1,0,1,0,0,0,1
142,2325,2021-10-20 07:30:00,Ж,23.0,1,0,0,1,0,0,1,0,0
143,2613,2021-10-20 14:00:00,Ж,46.0,4,1,0,0,0,1,0,1,0
144,262,2021-10-20 22:30:00,ж,88.0,0,0,1,0,1,0,0,0,1
145,7514,2021-10-20 21:00:00,м,77.0,0,1,1,0,1,0,0,0,1
146,3479,2021-10-20 22:30:00,м,38.0,0,1,1,0,1,0,0,0,1
147,8227,2021-10-20 22:15:00,Ж,35.0,-6,0,1,0,0,1,0,0,1
148,3685,2021-10-20 06:15:00,M,,1,0,0,0,1,0,1,0,0
149,4177,2021-10-20 21:00:00,м,63.0,3,1,1,0,1,0,0,0,1
150,4647,2021-10-20 15:00:00,M,75.0,0,0,1,0,0,1,0,1,0
151,2648,2021-10-20 22:15:00,-,46.0,1,1,1,0,0,1,0,0,1
152,6618,2021-10-20 06:15:00,ж,6.0,-4,1,0,0,0,1,1,0,0
153,3344,2021-10-20 21:00:00,Не указан,14.0,1,0,1,0,1,0,0,0,1
154,5662,2021-10-20 15:30:00,ж,35.0,3,1,0,0,0,1,0,1,0
155,6876,2021-10-20 06:15:00,ж,23.0,1,0,0,0,0,1,1,0,0
156,9603,2021-10-20 22:30:00,ж,93.0,5,1,1,0,0,1,0,0,1
157,7026,2021-10-20 08:42:00,Ж,85.0,90281180,0,0,0,0,1,1,0,0
158,4915,2021-10-20 14:00:00,Не указан,72.0,0,0,0,0,0,1,0,1,0
159,7673,2021-10-20 06:00:00,ж,1.0,3,1,0,0,1,0,1,0,0
160,5032,2021-10-20 14:00:00,м,81.0,0,0,0,0,0,1,0,1,0
161,3378,2021-10-20 14:15:00,M,76.0,4,0,1,1,0,0,0,1,0
162,906,2021-10-20 21:00:00,ж,49.0,0,0,1,0,0,1,0,0,1
163,6670,2021-10-20 15:30:00,м,51.0,1,1,1,0,0,1,0,1,0
164,8945,2021-10-20 21:00:00,м,54.0,5,1,1,0,0,1,0,0,1
165,5812,2021-10-20 14:00:00,Мужчина,92.0,3,0,0,0,0,1,0,1,0
166,4085,2021-10-20 07:30:00,Ж,,1,1,0,0,1,0,1,0,0
167,4027,2021-10-20 15:00:00,Не указан,60.0,3,0,0,0,1,0,0,1,0
168,8984,2021-10-20 15:00:00,м,62.0,4,0,1,0,0,1,0,1,0
169,5424,2021-10-20 06:00:00,-,16.0,1,0,0,0,1,0,1,0,0
170,3905,2021-10-20 07:00:00,M,91.0,2,1,0,0,0,1,1,0,0
171,1110,2021-10-20 22:15:00,M,,-2,1,1,0,0,1,0,0,1
172,2942,2021-10-20 21:00:00,-,89.0,1,0,1,0,0,1,0,0,1
173,3786,2021-10-20 07:30:00,Ж,82.0,5,0,1,1,0,0,1,0,0
174,3165,2021-10-20 14:00:00,ж,89.0,4,0,0,0,1,0,0,1,0
175,6151,2021-10-20 06:00:00,Ж,97.0,1,0,0,0,1,0,1,0,0
176,9585,2021-10-20 06:00:00,ж,15.0,2,0,0,0,1,0,1,0,0
177,2834,2021-10-20 22:30:00,M,18.0,0,0,1,0,1,0,0,0,1
178,7684,2021-10-20 21:00:00,м,25.0,4,1,1,0,1,0,0,0,1
179,5328,2021-10-20 22:15:00,м,5.0,0,0,1,1,0,0,0,0,1
180,6465,2021-10-20 08:42:00,ж,31.0,0,0,0,1,0,0,1,0,0
181,9850,2021-10-20 23:42:00,ж,90.0,0,0,1,0,1,0,0,0,1
182,4513,2021-10-20 06:00:00,Ж,40.0,4,0,0,0,0,1,1,0,0
183,9091,2021-10-20 06:15:00,ж,69.0,-1,0,0,0,0,1,1,0,0
184,566,2021-10-20 07:30:00,M,26.0,2,1,0,0,1,0,1,0,0
185,4993,2021-10-20 06:00:00,Не указан,42.0,3,1,0,0,1,0,1,0,0
186,7420,2021-10-20 06:15:00,Не указан,4.0,4,1,1,0,1,0,1,0,0
187,6220,2021-10-20 15:34:00,м,63.0,1,0,1,0,0,1,0,1,0
188,3182,2021-10-20 14:00:00,M,79.0,1,1,0,0,1,0,0,1,0
189,1552,2021-10-20 14:00:00,Ж,1.0,3,1,1,0,1,0,0,1,0
190,9094,2021-10-20 22:15:00,-,21.0,5,0,1,0,1,0,0,0,1
191,2811,2021-10-20 22:30:00,ж,11.0,4,1,1,0,0,1,0,0,1
192,1762,2021-10-20 21:00:00,M,94.0,5,0,1,0,1,0,0,0,1
193,3717,2021-10-20 06:15:00,ж,87.0,0,0,0,0,1,0,1,0,0
194,7596,2021-10-20 22:15:00,M,90.0,5,1,1,0,1,0,0,0,1
195,1670,2021-10-20 22:30:00,Не указан,34.0,5,0,1,0,1,0,0,0,1
196,1618,2021-10-20 22:15:00,м,50.0,5,1,1,0,1,0,0,0,1
197,1707,2021-10-20 15:34:00,-,44.0,1,0,1,0,1,0,0,1,0
198,2000,2021-10-20 07:00:00,ж,79.0,5,0,0,0,1,0,1,0,0
199,6738,2021-10-20 06:00:00,-,62.0,1,1,0,0,1,0,1,0,0
200,2299,2021-10-20 06:00:00,M,8.0,5,1,0,0,0,1,1,0,0
201,9473,2021-10-20 15:00:00,M,6.0,-6,1,1,0,0,1,0,1,0
202,1745,2021-10-20 14:00:00,M,93.0,5,1,1,0,1,0,0,1,0
203,4914,2021-10-20 15:00:00,M,67.0,2,0,1,0,0,1,0,1,0
204,6335,2021-10-20 21:00:00,-,28.0,0,1,1,0,0,1,0,0,1
205,7429,2021-10-20 21:00:00,Не указан,1.0,1,1,1,0,1,0,0,0,1
206,8269,2021-10-20 22:15:00,ж,1.0,2,0,1,0,1,0,0,0,1
207,7527,2021-10-20 15:30:00,ж,93.0,1,0,1,0,1,0,0,1,0
208,8811,2021-10-20 07:30:00,м,23.0,1,0,0,0,0,1,1,0,0
209,978,2021-10-20 21:00:00,-,91.0,4,0,1,0,0,1,0,0,1
210,483,2021-10-20 22:15:00,Не указан,17.0,2,1,1,0,1,0,0,0,1
211,4350,2021-10-20 14:00:00,Не указан,22.0,0,0,0,0,1,0,0,1,0
212,5053,2021-10-20 06:00:00,ж,71.0,1,0,0,0,0,1,1,0,0
213,7065,2021-10-20 15:00:00,Не указан,78.0,3,0,1,0,1,0,0,1,0
214,1554,2021-10-20 21:00:00,-,45.0,3,0,1,0,1,0,0,0,1
215,9492,2021-10-20 14:00:00,Ж,95.0,3,1,1,0,1,0,0,1,0
216,4197,2021-10-20 08:42:00,Не указан,54.0,4,0,0,0,1,0,1,0,0
217,4329,2021-10-20 22:30:00,-,5.0,2,1,1,0,0,1,0,0,1
218,147,2021-10-20 08:42:00,м,46.0,3,1,0,0,0,1,1,0,0
219,5906,2021-10-20 08:42:00,м,75.0,72944159,1,0,0,1,0,1,0,0
220,8621,2021-10-20 14:00:00,Не указан,48.0,-6,0,0,0,1,0,0,1,0
221,5233,2021-10-20 15:30:00,м,0.0,1,1,1,0,1,0,0,1,0
222,6142,2021-10-20 06:00:00,Не указан,44.0,-5,1,0,0,0,1,1,0,0
223,8950,2021-10-20 14:00:00,Ж,44.0,73137764,0,0,0,0,1,0,1,0
224,321,2021-10-20 15:34:00,Ж,58.0,2,0,1,0,1,0,0,1,0
225,5204,2021-10-20 15:00:00,M,52.0,3,0,1,0,0,1,0,1,0
226,6331,2021-10-20 06:15:00,м,90.0,1,0,0,1,0,0,1,0,0
227,8871,2021-10-20 23:42:00,-,88.0,0,0,1,0,0,1,0,0,1
228,4508,2021-10-20 15:34:00,ж,12.0,4,0,1,0,0,1,0,1,0
229,3468,2021-10-20 21:00:00,м,24.0,0,0,1,1,0,0,0,0,1
230,3897,2021-10-20 07:00:00,-,2.0,3,0,0,0,0,1,1,0,0
231,4662,2021-10-20 07:00:00,-,,3,0,0,0,1,0,1,0,0
232,1235,2021-10-20 22:30:00,-,,2,0,1,0,1,0,0,0,1
233,6953,2021-10-20 21:00:00,Не указан,45.0,1,1,1,0,0,1,0,0,1
234,5992,2021-10-20 21:00:00,M,77.0,2,1,1,0,0,1,0,0,1
235,6258,2021-10-20 22:30:00,ж,98.0,2,1,1,0,0,1,0,0,1
236,3306,2021-10-20 08:42:00,-,89.0,1,0,0,0,0,1,1,0,0
237,3370,2021-10-20 22:30:00,м,13.0,0,0,1,0,1,0,0,0,1
238,7231,2021-10-20 23:42:00,-,53.0,5,1,1,0,0,1,0,0,1
239,6713,2021-10-20 21:00:00,ж,98.0,-2,0,1,0,1,0,0,0,1
240,952,2021-10-20 15:34:00,Не указан,1.0,0,0,1,0,1,0,0,1,0
241,141,2021-10-20 15:00:00,-,0.0,0,1,1,0,0,1,0,1,0
242,9410,2021-10-20 15:34:00,-,45.0,5,1,1,0,1,0,0,1,0
243,2288,2021-10-20 15:34:00,M,34.0,0,1,1,0,1,0,0,1,0
244,1843,2021-10-20 07:00:00,ж,76.0,3,0,0,1,0,0,1,0,0
245,7635,2021-10-20 08:42:00,м,94.0,2,0,0,0,1,0,1,0,0
246,7656,2021-10-20 15:00:00,Не указан,51.0,0,0,1,0,0,1,0,1,0
247,2748,2021-10-20 08:42:00,Ж,36.0,1,0,0,0,1,0,1,0,0
248,4875,2021-10-20 15:30:00,ж,69.0,1,1,1,0,1,0,0,1,0
249,6880,2021-10-20 06:15:00,м,97.0,4,0,0,0,1,0,1,0,0
250,8295,2021-10-20 15:00:00,Ж,14.0,2,0,1,0,1,0,0,1,0
251,1844,2021-10-20 15:34:00,M,12.0,1,1,1,0,1,0,0,1,0
252,2788,2021-10-20 06:00:00,м,17.0,0,0,0,0,1,0,1,0,0
253,7433,2021-10-20 14:00:00,-,23.0,4,1,0,0,0,1,0,1,0
254,4899,2021-10-20 22:15:00,ж,0.0,2,1,1,0,1,0,0,0,1
255,6354,2021-10-20 22:15:00,Не указан,72.0,2,0,1,1,0,0,0,0,1
256,2372,2021-10-20 14:15:00,-,69.0,2,1,0,0,0,1,0,1,0
257,4099,2021-10-20 15:30:00,Ж,76.0,0,0,1,0,1,0,0,1,0
258,4043,2021-10-20 06:00:00,ж,,5,0,0,0,1,0,1,0,0
259,5410,2021-10-20 15:34:00,Не указан,67.0,1,0,1,1,0,0,0,1,0
260,4887,2021-10-20 06:00:00,Не указан,67.0,5,1,1,0,1,0,1,0,0
261,762,2021-10-20 07:00:00,-,31.0,3,0,0,0,0,1,1,0,0
262,2693,2021-10-20 21:00:00,Ж,19.0,3,1,1,0,1,0,0,0,1
263,833,2021-10-20 14:00:00,-,68.0,4,1,0,0,0,1,0,1,0
264,965,2021-10-20 15:30:00,ж,70.0,0,1,1,0,1,0,0,1,0
265,697,2021-10-20 22:30:00,Ж,21.0,4,0,1,0,1,0,0,0,1
266,3189,2021-10-20 15:30:00,Ж,88.0,5,0,1,0,1,0,0,1,0
267,8951,2021-10-20 07:00:00,M,83.0,1,0,0,0,0,1,1,0,0
268,2004,2021-10-20 15:34:00,ж,27.0,5410681,1,1,0,1,0,0,1,0
269,993,2021-10-20 21:00:00,Не указан,52.0,5,0,1,0,1,0,0,0,1
270,7198,2021-10-20 22:15:00,Ж,69.0,0,1,1,0,1,0,0,0,1
271,9227,2021-10-20 08:42:00,ж,11.0,5,0,0,0,1,0,1,0,0
272,9174,2021-10-20 22:15:00,Не указан,15.0,2,0,1,0,1,0,0,0,1
273,3550,2021-10-20 14:00:00,ж,88.0,51956120,0,0,0,1,0,0,1,0
274,6066,2021-10-20 07:00:00,M,1.0,5,0,0,0,1,0,1,0,0
275,6270,2021-10-20 21:00:00,ж,2.0,4,1,1,0,1,0,0,0,1
276,5095,2021-10-20 15:30:00,ж,60.0,2,0,1,0,0,1,0,1,0
277,9318,2021-10-20 06:15:00,Не указан,91.0,0,0,0,0,0,1,1,0,0
278,8490,2021-10-20 15:34:00,Ж,,-3,1,1,0,0,1,0,1,0
279,4621,2021-10-20 14:00:00,ж,100.0,3,0,0,0,1,0,0,1,0
280,4475,2021-10-20 07:30:00,Не указан,81.0,2,1,0,0,0,1,1,0,0
281,2366,2021-10-20 06:00:00,Не указан,72.0,27342900,0,0,0,1,0,1,0,0
282,9536,2021-10-20 14:15:00,M,3.0,2,0,1,1,0,0,0,1,0
283,9966,2021-10-20 07:00:00,-,,0,0,0,0,1,0,1,0,0
284,3623,2021-10-20 22:30:00,Не указан,53.0,4,0,1,0,1,0,0,0,1
285,9531,2021-10-20 22:15:00,м,26.0,1,0,1,0,0,1,0,0,1
286,7168,2021-10-20 15:30:00,ж,18.0,3,1,1,0,1,0,0,1,0
287,1121,2021-10-20 23:42:00,м,,-6,0,1,0,1,0,0,0,1
288,8296,2021-10-20 22:15:00,Ж,24.0,4,0,1,0,1,0,0,0,1
289,9672,2021-10-20 21:00:00,-,44.0,0,1,1,0,0,1,0,0,1
290,4288,2021-10-20 07:00:00,Ж,73.0,0,1,0,0,0,1,1,0,0
291,4860,2021-10-20 06:00:00,Ж,14.0,-5,0,0,0,1,0,1,0,0
292,6371,2021-10-20 22:15:00,Ж,22.0,-1,0,1,0,0,1,0,0,1
293,9638,2021-10-20 06:15:00,Не указан,17.0,4,0,0,0,0,1,1,0,0
294,9183,2021-10-20 14:15:00,м,23.0,0,0,0,0,1,0,0,1,0
295,9937,2021-10-20 14:00:00,M,12.0,1,1,1,0,1,0,0,1,0
296,1517,2021-10-20 15:34:00,Ж,95.0,5,0,1,0,1,0,0,1,0
297,8835,2021-10-20 21:00:00,Ж,67.0,1,0,1,0,1,0,0,0,1
298,6707,2021-10-20 23:42:00,Ж,3.0,5,0,1,1,0,0,0,0,1
299,457,2021-10-20 06:15:00,м,5.0,5,0,0,0,1,0,1,0,0
300,8483,2021-10-20 21:00:00,-,31.0,0,0,1,0,1,0,0,0,1
301,7922,2021-10-20 14:00:00,M,49.0,1,0,0,0,0,1,0,1,0
302,3871,2021-10-20 21:00:00,Не указан,78.0,4,1,1,0,1,0,0,0,1
303,8066,2021-10-20 22:15:00,Не указан,12.0,4,1,1,0,1,0,0,0,1
304,1879,2021-10-20 21:00:00,-,59.0,4,0,1,0,0,1,0,0,1
305,3191,2021-10-20 08:42:00,ж,76.0,0,1,0,0,0,1,1,0,0
306,9420,2021-10-20 22:30:00,м,45.0,5,0,1,0,0,1,0,0,1
307,3127,2021-10-20 14:15:00,ж,100.0,0,0,0,0,0,1,0,1,0
308,1009,2021-10-20 22:15:00,M,,4,1,1,0,1,0,0,0,1
309,6121,2021-10-20 21:00:00,Ж,58.0,4,0,1,0,1,0,0,0,1
310,7223,2021-10-20 06:15:00,Ж,31.0,0,0,0,0,1,0,1,0,0
311,2870,2021-10-20 22:15:00,Ж,49.0,0,1,1,0,0,1,0,0,1
312,1847,2021-10-20 23:42:00,ж,49.0,2,1,1,0,0,1,0,0,1
313,6585,2021-10-20 07:30:00,M,,0,1,0,0,0,1,1,0,0
314,5956,2021-10-20 22:15:00,ж,3.0,3,0,1,0,1,0,0,0,1
315,6529,2021-10-20 15:00:00,-,30.0,3,0,1,0,1,0,0,1,0
316,8659,2021-10-20 14:15:00,ж,46.0,2,1,0,0,1,0,0,1,0
317,6428,2021-10-20 14:15:00,-,16.0,3,1,0,0,0,1,0,1,0
318,8812,2021-10-20 23:42:00,м,1.0,4,0,1,0,1,0,0,0,1
319,6961,2021-10-20 06:15:00,M,23.0,5,1,0,0,0,1,1,0,0
320,9442,2021-10-20 14:00:00,Не указан,89.0,5,0,1,0,1,0,0,1,0
321,702,2021-10-20 06:15:00,Не указан,33.0,4,0,0,1,0,0,1,0,0
322,7573,2021-10-20 22:15:00,Ж,3.0,3,0,1,0,0,1,0,0,1
323,4553,2021-10-20 07:00:00,M,89.0,2,1,0,0,0,1,1,0,0
